work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL8891223W,-9.013957,-2.9270694,0.0,0.0,0.0,0.0,0.0,0.0
OL1879177W,-10.005202,-6.180492,0.0,0.0,0.0,0.0,0.0,0.0
OL16025743W,-10.0706835,-6.162419,0.0,0.0,0.0,0.0,0.0,0.0
OL5122625W,-6.5379887,-5.8289475,0.0,0.0,0.0,0.0,0.0,0.0
OL796465W,-0.29457968,0.36123732,-21.188837,14.958422,-2.2682712,6.1203356,0.0,0.0
OL8756272W,-0.40885344,-0.39782417,0.0,0.0,-17.112772,18.942106,0.0,0.0
OL8756260W,-0.16938668,-0.6128094,0.0,0.0,0.0,0.0,0.0,0.0
OL8756252W,-0.20407651,-0.6071983,0.0,0.0,0.0,0.0,0.0,0.0
OL8756258W,-0.26562202,-0.47273052,0.0,0.0,0.0,0.0,0.0,0.0
OL8756261W,-0.14252695,-0.4483494,0.0,0.0,0.0,0.0,0.0,0.0
OL8756259W,-0.22762665,-0.52000606,0.0,0.0,0.0,0.0,0.0,0.0
OL894072W,-3.9267728,-5.7026944,0.0,0.0,0.839338,-10.757329,-20.997673,27.504267
OL61867W,-3.7326374,-5.5716143,0.0,0.0,0.7625217,-11.286484,-22.39606,26.394058
OL23204W,-3.4427118,-3.6574178,-23.786985,13.997688,21.951826,-0.30644694,0.097349524,6.8519683
OL273902W,-1.7252657,-4.2701206,-21.819132,14.854573,0.0,0.0,0.0,0.0
OL4103857W,-1.4462823,-3.031042,0.0,0.0,1.2920192,6.6981792,0.0,0.0
OL29899W,-0.69167346,-3.601919,0.0,0.0,0.63262326,-2.7597885,10.820001,22.687752
OL1856675W,-4.059302,-5.3029757,0.0,0.0,-17.100325,18.95534,3.4111805,-9.184185
OL7923626W,-5.7586465,-4.235251,0.0,0.0,0.0,0.0,0.0,0.0
OL5850652W,-10.844195,-8.993586,0.0,0.0,0.0,0.0,0.0,0.0
OL7923575W,-4.015551,-5.3563385,0.0,0.0,0.0,0.0,0.0,0.0
OL27064913W,-10.939992,-9.295492,0.0,0.0,0.0,0.0,0.0,0.0
OL28184365W,-0.3605767,0.05575577,0.0,0.0,0.0,0.0,0.0,0.0
